Khóa,Mã HP,Tên HP,Số TC,Ngành,Kiểu môn
27,MI201,Toán rời rạc,3,TI,1
27,CF212,Cấu trúc dữ liệu,3,TI,1
27,CS110,Kỹ thuật số,2,TI,1
27,CS121,Ngôn ngữ lập trình,3,TI,1
27,CS122,Lập trình hướng đối tượng,3,TI,1
27,CS212,Kiến trúc máy tính,3,TI,1
27,CS315,Nguyên lý hệ điều hành,3,TI,1
27,IS222,Cơ sở dữ liệu,3,TI,1
27,NW212,Mạng máy tính,2,TI,1
27,MI312,Đồ họa,2,TI,1
27,MI321,Trí tuệ nhân tạo,3,TI,1
27,CF231,Lý thuyết thông tin và mã hóa,2,TI,1
27,CF301,Ngôn ngữ hình thức và Otomat,3,TI,1
27,IS322,Hệ quản trị cơ sở dữ liệu,3,TI,1
27,IS332,Phân tích thiết kế hướng đối tượng,3,TI,1
27,IS381,Hệ thống thông tin quản lý,3,TI,1
27,SE302,Công nghệ phần mềm,2,TI,1
27,MI414,Giao diện người máy,2,TI,1
27,SE422,Quản lý dự án phần mềm,3,TI,1
27,SE312,Kiểm thử và đảm bảo chất lượng phần mềm,3,TI,1
27,SE380,Project,4,TI,1
27,IS345,An toàn thông tin,2,TI,1
27,IS346,Pháp luật và chính sách an toàn thông tin,2,TI,1
27,CS316,Hệ điều hành Unix,3,TI,1
27,NW312,Thiết kế và quản trị mạng,3,TI,1
27,NW332,An toàn mạng,3,TI,1
27,CF211,Phân tích và thiết kế thuật toán,2,TI,1
27,CS223,Lập trình Java,3,TI,0
27,CS224,Lập trình .Net,3,TI,0
27,CS311,Lập trình ứng dụng di động,3,TI,0
27,CS312,Lập trình hệ thống,3,TI,0
27,CS325,Lập trình PHP,3,TI,0
27,CS425,Một số vấn đề hiện đại trong khoa học máy tính,2,TI,0
27,IS424,Lập trình cơ sở dữ liệu,3,TI,0
27,IS333,Phân tích thiết kế hệ thống thông tin,2,TI,0
27,IS385,Cơ sở dữ liệu phân tán,2,TI,0
27,IP401,Thực tập ngành Khoa học máy tính,2,TI,1
27,CS499,KLTN ngành Khoa học máy tính,6,TI,1
27,CS428,CĐTN Công nghệ .Net,6,TI,1
27,CS429,CĐTN Công nghệ Java,6,TI,1
27,SE487,CĐTN: Phát triển phần mềm,6,TI,1
27,IS484,CĐTN Cơ sở dữ liệu,6,TI,1
27,NW439,CĐTN An toàn mạng,6,TI,1
27,MA101,"Logic, suy luận toán học và kỹ thuật đếm",3,TC,1
27,MA103,Số và cấu trúc đại số,2,TC,1
27,CS100,Tin đại cương,2,TC,1
27,MA110,Giải tích 1,3,TC,1
27,MA111,Giải tích 2,3,TC,1
27,MA120,Đại số tuyến tính,3,TC,1
27,MA231,Xác suất thống kê ứng dụng,4,TC,1
27,MI201,Toán rời rạc,3,TC,1
27,CF212,Cấu trúc dữ liệu,3,TC,1
27,CS110,Kỹ thuật số,2,TC,1
27,CS121,Ngôn ngữ lập trình,3,TC,1
27,CS122,Lập trình hướng đối tượng,3,TC,1
27,CS212,Kiến trúc máy tính,3,TC,1
27,CS315,Nguyên lý hệ điều hành,3,TC,1
27,IS222,Cơ sở dữ liệu,3,TC,1
27,NW212,Mạng máy tính,2,TC,1
27,CF231,Lý thuyết thông tin và mã hóa,2,TC,1
27,CF321,Xử lý tín hiệu số,2,TC,1
27,CS211,Vi điều khiển và ứng dụng,3,TC,1
27,NW312,Thiết kế và quản trị mạng,3,TC,1
27,NW332,An toàn mạng,3,TC,1
27,ET220,Lý thuyết mạch,3,TC,1
27,TC311,Kỹ thuật truyền tin,3,TC,1
27,TC313,Kỹ thuật truyền dẫn,3,TC,1
27,TC314,Kỹ thuật kết nối mạng,3,TC,1
27,TC315,Công nghệ mạng truyền thông,3,TC,1
27,CS311,Lập trình ứng dụng di động,3,TC,1
27,CS411,Ứng dụng kỹ thuật vi xử lý trong đo lường và điều khiển,2,TC,1
27,IS333,Phân tích thiết kế hệ thống thông tin,2,TC,1
27,NW322,Lập trình mạng,3,TC,1
27,TC403,Mạng truy nhập,2,TC,1
27,TC473,Quản lý mạng viễn thông,3,TC,1
27,IP402,Thực tập ngành Truyền thông và mạng máy tính,2,TC,1
27,TC487,CĐTNTruyền thông và mạng máy tính,6,TC,1
27,MA101,"Logic, suy luận toán học và kỹ thuật đếm",3,TE,1
27,CS100,Tin đại cương,2,TE,1
27,MA110,Giải tích 1,3,TE,1
27,MA111,Giải tích 2,3,TE,1
27,MA120,Đại số tuyến tính,3,TE,1
27,MA231,Xác suất thống kê ứng dụng,4,TE,1
27,MI201,Toán rời rạc,3,TE,1
27,CF212,Cấu trúc dữ liệu,3,TE,1
27,CS110,Kỹ thuật số,2,TE,1
27,CS121,Ngôn ngữ lập trình,3,TE,1
27,CS122,Lập trình hướng đối tượng,3,TE,1
27,CS212,Kiến trúc máy tính,3,TE,1
27,CS315,Nguyên lý hệ điều hành,3,TE,1
27,IS222,Cơ sở dữ liệu,3,TE,1
27,NW212,Mạng máy tính,2,TE,1
27,IS314,Cơ bản về hệ thống thông tin,3,TE,1
27,IS322,Hệ quản trị cơ sở dữ liệu,3,TE,1
27,IS326,Khai phá dữ liệu,3,TE,1
27,IS315,Mô hình hóa quy trình nghiệp vụ,2,TE,1
27,IS332,Phân tích thiết kế hướng đối tượng,3,TE,1
27,IS334,Thực hành phân tích thiết kế hệ thống thông tin,3,TE,1
27,SE302,Công nghệ phần mềm,2,TE,1
27,IS383,Hệ thống thông tin nâng cao,2,TE,1
27,SE320,Quản lý dự án công nghệ thông tin,3,TE,1
27,IS320,Thực hành quản lý dự án hệ thống thông tin,3,TE,1
27,IS316,Hạ tầng hệ thống thông tin,3,TE,1
27,IS480,Kiến trúc doanh nghiệp,3,TE,1
27,CS223,Lập trình Java,3,TE,0
27,CS224,Lập trình .Net,3,TE,0
27,CS325,Lập trình PHP,3,TE,0
27,IS333,Phân tích thiết kế hệ thống thông tin,2,TE,0
27,IS327,Nhà kho dữ liệu,3,TE,0
27,IS328,Cơ sở dữ liệu nâng cao,3,TE,0
27,IS384,Các vấn đề hiện đại về hệ thống thông tin,3,TE,0
27,IS481,Quản lý hệ thống thông tin chiến lược,3,TE,0
27,SE312,Kiểm thử và đảm bảo chất lượng phần mềm,2,TE,0
27,NW312,Thiết kế và quản trị mạng,3,TE,0
27,IP403,Thực tập ngành hệ thống thông tin,2,TE,1
